Date,Month,Day,Year,ep ratio
1/1/1962,1,1,1962,4.71
2/1/1962,2,1,1962,4.71
3/1/1962,3,1,1962,4.79
4/1/1962,4,1,1962,5
5/1/1962,5,1,1962,5.46
6/1/1962,6,1,1962,6.24
7/1/1962,7,1,1962,6.13
8/1/1962,8,1,1962,6
9/1/1962,9,1,1962,6.09
10/1/1962,10,1,1962,6.37
11/1/1962,11,1,1962,6.03
12/1/1962,12,1,1962,5.86
1/1/1963,1,1,1963,5.66
2/1/1963,2,1,1963,5.61
3/1/1963,3,1,1963,5.65
4/1/1963,4,1,1963,5.46
5/1/1963,5,1,1963,5.41
6/1/1963,6,1,1963,5.48
7/1/1963,7,1,1963,5.62
8/1/1963,8,1,1963,5.52
9/1/1963,9,1,1963,5.44
10/1/1963,10,1,1963,5.45
11/1/1963,11,1,1963,5.51
12/1/1963,12,1,1963,5.42
1/1/1964,1,1,1964,5.33
2/1/1964,2,1,1964,5.33
3/1/1964,3,1,1964,5.3
4/1/1964,4,1,1964,5.29
5/1/1964,5,1,1964,5.3
6/1/1964,6,1,1964,5.4
7/1/1964,7,1,1964,5.26
8/1/1964,8,1,1964,5.39
9/1/1964,9,1,1964,5.36
10/1/1964,10,1,1964,5.3
11/1/1964,11,1,1964,5.29
12/1/1964,12,1,1964,5.42
1/1/1965,1,1,1965,5.33
2/1/1965,2,1,1965,5.34
3/1/1965,3,1,1965,5.39
4/1/1965,4,1,1965,5.38
5/1/1965,5,1,1965,5.36
6/1/1965,6,1,1965,5.69
7/1/1965,7,1,1965,5.76
8/1/1965,8,1,1965,5.7
9/1/1965,9,1,1965,5.57
10/1/1965,10,1,1965,5.53
11/1/1965,11,1,1965,5.56
12/1/1965,12,1,1965,5.66
1/1/1966,1,1,1966,5.62
2/1/1966,2,1,1966,5.71
3/1/1966,3,1,1966,6.01
4/1/1966,4,1,1966,5.87
5/1/1966,5,1,1966,6.25
6/1/1966,6,1,1966,6.34
7/1/1966,7,1,1966,6.38
8/1/1966,8,1,1966,6.81
9/1/1966,9,1,1966,7.08
10/1/1966,10,1,1966,7.16
11/1/1966,11,1,1966,6.84
12/1/1966,12,1,1966,6.82
1/1/1967,1,1,1967,6.53
2/1/1967,2,1,1967,6.28
3/1/1967,3,1,1967,6.09
4/1/1967,4,1,1967,5.95
5/1/1967,5,1,1967,5.8
6/1/1967,6,1,1967,5.83
7/1/1967,7,1,1967,5.72
8/1/1967,8,1,1967,5.62
9/1/1967,9,1,1967,5.53
10/1/1967,10,1,1967,5.55
11/1/1967,11,1,1967,5.74
12/1/1967,12,1,1967,5.59
1/1/1968,1,1,1968,5.65
2/1/1968,2,1,1968,5.95
3/1/1968,3,1,1968,6.11
4/1/1968,4,1,1968,5.73
5/1/1968,5,1,1968,5.65
6/1/1968,6,1,1968,5.54
7/1/1968,7,1,1968,5.58
8/1/1968,8,1,1968,5.74
9/1/1968,9,1,1968,5.59
10/1/1968,10,1,1968,5.48
11/1/1968,11,1,1968,5.43
12/1/1968,12,1,1968,5.41
1/1/1969,1,1,1969,5.67
2/1/1969,2,1,1969,5.71
3/1/1969,3,1,1969,5.86
4/1/1969,4,1,1969,5.75
5/1/1969,5,1,1969,5.58
6/1/1969,6,1,1969,5.89
7/1/1969,7,1,1969,6.18
8/1/1969,8,1,1969,6.24
9/1/1969,9,1,1969,6.23
10/1/1969,10,1,1969,6.13
11/1/1969,11,1,1969,6.05
12/1/1969,12,1,1969,6.34
1/1/1970,1,1,1970,6.34
2/1/1970,2,1,1970,6.52
3/1/1970,3,1,1970,6.35
4/1/1970,4,1,1970,6.51
5/1/1970,5,1,1970,7.31
6/1/1970,6,1,1970,7.3
7/1/1970,7,1,1970,7.22
8/1/1970,8,1,1970,6.95
9/1/1970,9,1,1970,6.49
10/1/1970,10,1,1970,6.26
11/1/1970,11,1,1970,6.18
12/1/1970,12,1,1970,5.7
1/1/1971,1,1,1971,5.52
2/1/1971,2,1,1971,5.34
3/1/1971,3,1,1971,5.24
4/1/1971,4,1,1971,5.1
5/1/1971,5,1,1971,5.2
6/1/1971,6,1,1971,5.33
7/1/1971,7,1,1971,5.41
8/1/1971,8,1,1971,5.55
9/1/1971,9,1,1971,5.46
10/1/1971,10,1,1971,5.67
11/1/1971,11,1,1971,6.05
12/1/1971,12,1,1971,5.75
1/1/1972,1,1,1972,5.55
2/1/1972,2,1,1972,5.49
3/1/1972,3,1,1972,5.39
4/1/1972,4,1,1972,5.39
5/1/1972,5,1,1972,5.49
6/1/1972,6,1,1972,5.53
7/1/1972,7,1,1972,5.62
8/1/1972,8,1,1972,5.48
9/1/1972,9,1,1972,5.61
10/1/1972,10,1,1972,5.69
11/1/1972,11,1,1972,5.5
12/1/1972,12,1,1972,5.46
1/1/1973,1,1,1973,5.53
2/1/1973,2,1,1973,5.84
3/1/1973,3,1,1973,6.05
4/1/1973,4,1,1973,6.29
5/1/1973,5,1,1973,6.61
6/1/1973,6,1,1973,6.9
7/1/1973,7,1,1973,6.98
8/1/1973,8,1,1973,7.26
9/1/1973,9,1,1973,7.28
10/1/1973,10,1,1973,7.15
11/1/1973,11,1,1973,7.85
12/1/1973,12,1,1973,8.61
1/1/1974,1,1,1974,8.56
2/1/1974,2,1,1974,8.87
3/1/1974,3,1,1974,8.58
4/1/1974,4,1,1974,9.18
5/1/1974,5,1,1974,9.61
6/1/1974,6,1,1974,9.73
7/1/1974,7,1,1974,11.18
8/1/1974,8,1,1974,11.82
9/1/1974,9,1,1974,13.37
10/1/1974,10,1,1974,13.01
11/1/1974,11,1,1974,12.49
12/1/1974,12,1,1974,13.25
1/1/1975,1,1,1975,12.05
2/1/1975,2,1,1975,10.73
3/1/1975,3,1,1975,10.09
4/1/1975,4,1,1975,9.78
5/1/1975,5,1,1975,9.02
6/1/1975,6,1,1975,8.61
7/1/1975,7,1,1975,8.53
8/1/1975,8,1,1975,9.13
9/1/1975,9,1,1975,9.16
10/1/1975,10,1,1975,8.84
11/1/1975,11,1,1975,8.76
12/1/1975,12,1,1975,8.97
1/1/1976,1,1,1976,8.46
2/1/1976,2,1,1976,8.38
3/1/1976,3,1,1976,8.57
4/1/1976,4,1,1976,8.69
5/1/1976,5,1,1976,8.95
6/1/1976,6,1,1976,9.09
7/1/1976,7,1,1976,8.97
8/1/1976,8,1,1976,9.15
9/1/1976,9,1,1976,9.05
10/1/1976,10,1,1976,9.49
11/1/1976,11,1,1976,9.67
12/1/1976,12,1,1976,9.47
1/1/1977,1,1,1977,9.6
2/1/1977,2,1,1977,9.92
3/1/1977,3,1,1977,10.02
4/1/1977,4,1,1977,10.29
5/1/1977,5,1,1977,10.44
6/1/1977,6,1,1977,10.49
7/1/1977,7,1,1977,10.5
8/1/1977,8,1,1977,10.86
9/1/1977,9,1,1977,11.13
10/1/1977,10,1,1977,11.49
11/1/1977,11,1,1977,11.49
12/1/1977,12,1,1977,11.61
1/1/1978,1,1,1978,12.08
2/1/1978,2,1,1978,12.26
3/1/1978,3,1,1978,12.29
4/1/1978,4,1,1978,11.89
5/1/1978,5,1,1978,11.42
6/1/1978,6,1,1978,11.5
7/1/1978,7,1,1978,11.67
8/1/1978,8,1,1978,11.03
9/1/1978,9,1,1978,11.14
10/1/1978,10,1,1978,11.75
11/1/1978,11,1,1978,12.75
12/1/1978,12,1,1978,12.83
1/1/1979,1,1,1979,12.69
2/1/1979,2,1,1979,13.21
3/1/1979,3,1,1979,13.29
4/1/1979,4,1,1979,13.25
5/1/1979,5,1,1979,13.79
6/1/1979,6,1,1979,13.75
7/1/1979,7,1,1979,13.82
8/1/1979,8,1,1979,13.42
9/1/1979,9,1,1979,13.47
10/1/1979,10,1,1979,14.07
11/1/1979,11,1,1979,14.26
12/1/1979,12,1,1979,13.78
1/1/1980,1,1,1980,13.53
2/1/1980,2,1,1980,13.14
3/1/1980,3,1,1980,14.6
4/1/1980,4,1,1980,14.73
5/1/1980,5,1,1980,13.98
6/1/1980,6,1,1980,13.04
7/1/1980,7,1,1980,12.39
8/1/1980,8,1,1980,11.94
9/1/1980,9,1,1980,11.57
10/1/1980,10,1,1980,11.29
11/1/1980,11,1,1980,10.88
12/1/1980,12,1,1980,11.1
1/1/1981,1,1,1981,11.08
2/1/1981,2,1,1981,11.42
3/1/1981,3,1,1981,10.95
4/1/1981,4,1,1981,10.95
5/1/1981,5,1,1981,11.29
6/1/1981,6,1,1981,11.35
