Date,Month,Day ,Year,SP 500 Index,,Date on Return,SP 500_Return,,
12/31/1961,12,31,1961,71.55,,1/1/1962,-3.787561146,,Comment: The monthly return date is chosen to be the 1st of every month.
1/31/1962,1,31,1962,68.84,,2/1/1962,1.626961069,,
2/28/1962,2,28,1962,69.96,,3/1/1962,-0.586049171,,
3/31/1962,3,31,1962,69.55,,4/1/1962,-6.19698059,,
4/30/1962,4,30,1962,65.24,,5/1/1962,-8.599019007,,
5/31/1962,5,31,1962,59.63,,6/1/1962,-8.183800101,,
6/30/1962,6,30,1962,54.75,,7/1/1962,6.356164384,,
7/31/1962,7,31,1962,58.23,,8/1/1962,1.528421776,,
8/31/1962,8,31,1962,59.12,,9/1/1962,-4.820703654,,
9/30/1962,9,30,1962,56.27,,10/1/1962,0.444286476,,
10/31/1962,10,31,1962,56.52,,11/1/1962,10.1556971,,
11/30/1962,11,30,1962,62.26,,12/1/1962,1.349180854,,
12/31/1962,12,31,1962,63.1,,1/1/1963,4.912836767,,
1/31/1963,1,31,1963,66.2,,2/1/1963,-2.885196375,,
2/28/1963,2,28,1963,64.29,,3/1/1963,3.546430238,,
3/31/1963,3,31,1963,66.57,,4/1/1963,4.852035451,,
4/30/1963,4,30,1963,69.8,,5/1/1963,1.432664756,,
5/31/1963,5,31,1963,70.8,,6/1/1963,-2.019774011,,
6/30/1963,6,30,1963,69.37,,7/1/1963,-0.345970881,,
7/31/1963,7,31,1963,69.13,,8/1/1963,4.874873427,,
8/31/1963,8,31,1963,72.5,,9/1/1963,-1.103448276,,
9/30/1963,9,30,1963,71.7,,10/1/1963,3.221757322,,
10/31/1963,10,31,1963,74.01,,11/1/1963,-1.053911634,,
11/30/1963,11,30,1963,73.23,,12/1/1963,2.444353407,,
12/31/1963,12,31,1963,75.02,,1/1/1964,2.692615303,,
1/31/1964,1,31,1964,77.04,,2/1/1964,0.986500519,,
2/29/1964,2,29,1964,77.8,,3/1/1964,1.516709512,,
3/31/1964,3,31,1964,78.98,,4/1/1964,0.607748797,,
4/30/1964,4,30,1964,79.46,,5/1/1964,1.145230305,,
5/31/1964,5,31,1964,80.37,,6/1/1964,1.642403882,,
6/30/1964,6,30,1964,81.69,,7/1/1964,1.823968662,,
7/31/1964,7,31,1964,83.18,,8/1/1964,-1.622986295,,
8/31/1964,8,31,1964,81.83,,9/1/1964,2.871807406,,
9/30/1964,9,30,1964,84.18,,10/1/1964,0.807792825,,
10/31/1964,10,31,1964,84.86,,11/1/1964,-0.518501061,,
11/30/1964,11,30,1964,84.42,,12/1/1964,0.39090263,,
12/31/1964,12,31,1964,84.75,,1/1/1965,3.315634218,,
1/31/1965,1,31,1965,87.56,,2/1/1965,-0.148469621,,
2/28/1965,2,28,1965,87.43,,3/1/1965,-1.452590644,,
3/31/1965,3,31,1965,86.16,,4/1/1965,3.423862581,,
4/30/1965,4,30,1965,89.11,,5/1/1965,-0.774323869,,
5/31/1965,5,31,1965,88.42,,6/1/1965,-4.863153133,,
6/30/1965,6,30,1965,84.12,,7/1/1965,1.343319068,,
7/31/1965,7,31,1965,85.25,,8/1/1965,2.252199413,,
8/31/1965,8,31,1965,87.17,,9/1/1965,3.200642423,,
9/30/1965,9,30,1965,89.96,,10/1/1965,2.734548688,,
10/31/1965,10,31,1965,92.42,,11/1/1965,-0.876433672,,
11/30/1965,11,30,1965,91.61,,12/1/1965,0.895098788,,
12/31/1965,12,31,1965,92.43,,1/1/1966,0.486854917,,
1/31/1966,1,31,1966,92.88,,2/1/1966,-1.787252369,,
2/28/1966,2,28,1966,91.22,,3/1/1966,-2.181539136,,
3/31/1966,3,31,1966,89.23,,4/1/1966,2.050879749,,
4/30/1966,4,30,1966,91.06,,5/1/1966,-5.414012739,,
5/31/1966,5,31,1966,86.13,,6/1/1966,-1.613839545,,
6/30/1966,6,30,1966,84.74,,7/1/1966,-1.34529148,,
7/31/1966,7,31,1966,83.6,,8/1/1966,-7.775119617,,
