Date,Month,Day,Year,TB10YRS
1/1/1962,1,1,1962,4.083181818
2/1/1962,2,1,1962,4.039444444
3/1/1962,3,1,1962,3.930454545
4/1/1962,4,1,1962,3.843
5/1/1962,5,1,1962,3.873636364
6/1/1962,6,1,1962,3.909047619
7/1/1962,7,1,1962,4.014285714
8/1/1962,8,1,1962,3.975652174
9/1/1962,9,1,1962,3.978947368
10/1/1962,10,1,1962,3.925454545
11/1/1962,11,1,1962,3.915789474
12/1/1962,12,1,1962,3.8645
1/1/1963,1,1,1963,3.833636364
2/1/1963,2,1,1963,3.921111111
3/1/1963,3,1,1963,3.928571429
4/1/1963,4,1,1963,3.970952381
5/1/1963,5,1,1963,3.93
6/1/1963,6,1,1963,3.993
7/1/1963,7,1,1963,4.020454545
8/1/1963,8,1,1963,4.002272727
9/1/1963,9,1,1963,4.0775
10/1/1963,10,1,1963,4.106086957
11/1/1963,11,1,1963,4.121764706
12/1/1963,12,1,1963,4.128571429
1/1/1964,1,1,1964,4.166818182
2/1/1964,2,1,1964,4.145555556
3/1/1964,3,1,1964,4.21952381
4/1/1964,4,1,1964,4.232272727
5/1/1964,5,1,1964,4.2
6/1/1964,6,1,1964,4.17
7/1/1964,7,1,1964,4.185909091
8/1/1964,8,1,1964,4.193809524
9/1/1964,9,1,1964,4.203809524
10/1/1964,10,1,1964,4.188095238
11/1/1964,11,1,1964,4.152777778
12/1/1964,12,1,1964,4.179545455
1/1/1965,1,1,1965,4.1895
2/1/1965,2,1,1965,4.211111111
3/1/1965,3,1,1965,4.210434783
4/1/1965,4,1,1965,4.203809524
5/1/1965,5,1,1965,4.2115
6/1/1965,6,1,1965,4.213181818
7/1/1965,7,1,1965,4.204761905
8/1/1965,8,1,1965,4.252272727
9/1/1965,9,1,1965,4.29047619
10/1/1965,10,1,1965,4.3495
11/1/1965,11,1,1965,4.448947368
12/1/1965,12,1,1965,4.615454545
1/1/1966,1,1,1966,4.612380952
2/1/1966,2,1,1966,4.832105263
3/1/1966,3,1,1966,4.873478261
4/1/1966,4,1,1966,4.75
5/1/1966,5,1,1966,4.778571429
6/1/1966,6,1,1966,4.814545455
7/1/1966,7,1,1966,5.018
8/1/1966,8,1,1966,5.224347826
9/1/1966,9,1,1966,5.182380952
10/1/1966,10,1,1966,5.0115
11/1/1966,11,1,1966,5.155263158
12/1/1966,12,1,1966,4.842857143
1/1/1967,1,1,1967,4.579047619
2/1/1967,2,1,1967,4.626666667
3/1/1967,3,1,1967,4.541818182
4/1/1967,4,1,1967,4.5935
5/1/1967,5,1,1967,4.847727273
6/1/1967,6,1,1967,5.022727273
7/1/1967,7,1,1967,5.159
8/1/1967,8,1,1967,5.275652174
9/1/1967,9,1,1967,5.302
10/1/1967,10,1,1967,5.480952381
11/1/1967,11,1,1967,5.7535
12/1/1967,12,1,1967,5.699
1/1/1968,1,1,1968,5.528636364
2/1/1968,2,1,1968,5.563684211
3/1/1968,3,1,1968,5.74
