Date,Month,Day,Year,TB3MS
1/1/1962,1,1,1962,2.72
2/1/1962,2,1,1962,2.73
3/1/1962,3,1,1962,2.72
4/1/1962,4,1,1962,2.73
5/1/1962,5,1,1962,2.69
6/1/1962,6,1,1962,2.73
7/1/1962,7,1,1962,2.92
8/1/1962,8,1,1962,2.82
9/1/1962,9,1,1962,2.78
10/1/1962,10,1,1962,2.74
11/1/1962,11,1,1962,2.83
12/1/1962,12,1,1962,2.87
1/1/1963,1,1,1963,2.91
2/1/1963,2,1,1963,2.92
3/1/1963,3,1,1963,2.89
4/1/1963,4,1,1963,2.9
5/1/1963,5,1,1963,2.93
6/1/1963,6,1,1963,2.99
7/1/1963,7,1,1963,3.18
8/1/1963,8,1,1963,3.32
9/1/1963,9,1,1963,3.38
10/1/1963,10,1,1963,3.45
11/1/1963,11,1,1963,3.52
12/1/1963,12,1,1963,3.52
1/1/1964,1,1,1964,3.52
2/1/1964,2,1,1964,3.53
3/1/1964,3,1,1964,3.54
4/1/1964,4,1,1964,3.47
5/1/1964,5,1,1964,3.48
6/1/1964,6,1,1964,3.48
7/1/1964,7,1,1964,3.46
8/1/1964,8,1,1964,3.5
9/1/1964,9,1,1964,3.53
10/1/1964,10,1,1964,3.57
11/1/1964,11,1,1964,3.64
12/1/1964,12,1,1964,3.84
1/1/1965,1,1,1965,3.81
2/1/1965,2,1,1965,3.93
3/1/1965,3,1,1965,3.93
4/1/1965,4,1,1965,3.93
5/1/1965,5,1,1965,3.89
6/1/1965,6,1,1965,3.8
7/1/1965,7,1,1965,3.84
8/1/1965,8,1,1965,3.84
9/1/1965,9,1,1965,3.92
10/1/1965,10,1,1965,4.03
11/1/1965,11,1,1965,4.09
12/1/1965,12,1,1965,4.38
1/1/1966,1,1,1966,4.59
2/1/1966,2,1,1966,4.65
3/1/1966,3,1,1966,4.59
4/1/1966,4,1,1966,4.62
5/1/1966,5,1,1966,4.64
6/1/1966,6,1,1966,4.5
7/1/1966,7,1,1966,4.8
8/1/1966,8,1,1966,4.96
9/1/1966,9,1,1966,5.37
10/1/1966,10,1,1966,5.35
11/1/1966,11,1,1966,5.32
12/1/1966,12,1,1966,4.96
1/1/1967,1,1,1967,4.72
2/1/1967,2,1,1967,4.56
3/1/1967,3,1,1967,4.26
4/1/1967,4,1,1967,3.84
5/1/1967,5,1,1967,3.6
6/1/1967,6,1,1967,3.54
7/1/1967,7,1,1967,4.21
8/1/1967,8,1,1967,4.27
9/1/1967,9,1,1967,4.42
