Date,ep ratio
6/1/2022,4.82
5/31/2022,4.79
5/1/2022,4.74
4/1/2022,4.51
3/31/2022,3.87
3/1/2022,4.51
2/28/2022,4.01
2/1/2022,4.46
1/31/2022,3.88
1/1/2022,4.33
12/31/2021,3.33
12/1/2021,4.23
11/30/2021,3.48
11/1/2021,4.08
10/1/2021,4.1
9/30/2021,2.98
9/1/2021,3.94
8/31/2021,2.83
8/1/2021,3.81
7/1/2021,3.77
6/30/2021,2.19
6/1/2021,3.75
5/1/2021,3.56
4/30/2021,2.35
4/1/2021,3.34
3/31/2021,2.47
3/1/2021,3.28
2/1/2021,3.01
1/1/2021,2.78
12/31/2020,2.64
12/1/2020,2.55
11/30/2020,2.73
11/1/2020,2.69
10/1/2020,2.83
9/30/2020,3.46
9/1/2020,2.92
8/31/2020,3.32
8/1/2020,2.91
7/31/2020,3.56
7/1/2020,3.08
6/30/2020,4.5
6/1/2020,3.2
5/1/2020,3.59
4/30/2020,4.79
4/1/2020,4.01
3/31/2020,5.14
3/1/2020,4.39
2/28/2020,4.5
2/1/2020,3.78
1/31/2020,4.12
1/1/2020,4.02
12/31/2019,4.13
12/1/2019,4.39
11/1/2019,4.42
10/1/2019,4.54
9/1/2019,4.46
8/1/2019,4.61
7/1/2019,4.49
6/1/2019,4.68
5/31/2019,4.9
5/1/2019,4.73
4/1/2019,4.64
3/1/2019,4.79
2/1/2019,4.85
1/1/2019,5.1
12/1/2018,5.16
11/1/2018,4.84
10/1/2018,4.71
9/1/2018,4.49
8/1/2018,4.47
7/1/2018,4.48
6/1/2018,4.45
5/1/2018,4.45
4/1/2018,4.44
3/1/2018,4.27
2/1/2018,4.2
1/1/2018,4.01
12/1/2017,4.12
11/1/2017,4.2
10/1/2017,4.22
9/1/2017,4.3
8/1/2017,4.32
7/1/2017,4.28
6/1/2017,4.27
5/1/2017,4.29
4/1/2017,4.3
3/1/2017,4.24
2/1/2017,4.22
1/1/2017,4.24
12/1/2016,4.21
11/1/2016,4.28
10/1/2016,4.24
9/1/2016,4.13
8/1/2016,4.07
7/1/2016,4.08
6/1/2016,4.17
5/1/2016,4.2
4/1/2016,4.17
3/1/2016,4.28
2/1/2016,4.54
1/1/2016,4.51
12/1/2015,4.21
11/1/2015,4.23
10/1/2015,4.41
9/1/2015,4.66
8/1/2015,4.51
7/1/2015,4.46
6/1/2015,4.52
5/1/2015,4.56
4/1/2015,4.67
3/1/2015,4.77
2/1/2015,4.82
1/1/2015,4.99
12/1/2014,4.98
11/1/2014,5.06
10/1/2014,5.41
9/1/2014,5.32
8/1/2014,5.35
7/1/2014,5.27
6/1/2014,5.3
5/1/2014,5.42
4/1/2014,5.45
3/1/2014,5.41
2/1/2014,5.54
1/1/2014,5.51
12/1/2013,5.54
11/1/2013,5.51
10/1/2013,5.6
9/1/2013,5.59
8/1/2013,5.58
7/1/2013,5.52
6/1/2013,5.62
5/1/2013,5.48
4/1/2013,5.65
3/1/2013,5.66
2/1/2013,5.77
1/1/2013,5.87
12/1/2012,6.08
11/1/2012,6.2
10/1/2012,6.02
9/1/2012,5.99
8/1/2012,6.2
7/1/2012,6.43
6/1/2012,6.64
5/1/2012,6.57
4/1/2012,6.37
3/1/2012,6.37
2/1/2012,6.51
1/1/2012,6.73
12/1/2011,6.99
11/1/2011,7.09
10/1/2011,7.2
9/1/2011,7.41
8/1/2011,7.25
7/1/2011,6.41
6/1/2011,6.52
5/1/2011,6.2
4/1/2011,6.17
3/1/2011,6.23
2/1/2011,6.05
1/1/2011,6.13
12/1/2010,6.23
11/1/2010,6.3
10/1/2010,6.29
9/1/2010,6.4
8/1/2010,6.46
7/1/2010,6.36
6/1/2010,6.19
5/1/2010,5.78
4/1/2010,5.26
3/1/2010,5.29
2/1/2010,5.29
1/1/2010,4.83
12/1/2009,4.59
11/1/2009,3.51
10/1/2009,2.37
9/1/2009,1.2
8/1/2009,1.08
7/1/2009,0.98
6/1/2009,0.81
5/1/2009,0.81
4/1/2009,0.83
3/1/2009,0.91
2/1/2009,1.18
1/1/2009,1.41
12/1/2008,1.7
11/1/2008,2.86
10/1/2008,3.67
9/1/2008,3.78
8/1/2008,3.73
7/1/2008,3.94
6/1/2008,3.83
5/1/2008,3.88
4/1/2008,4.19
3/1/2008,4.59
2/1/2008,4.6
1/1/2008,4.66
12/1/2007,4.47
11/1/2007,4.81
10/1/2007,4.84
9/1/2007,5.25
8/1/2007,5.55
7/1/2007,5.45
6/1/2007,5.61
5/1/2007,5.58
4/1/2007,5.72
3/1/2007,5.91
2/1/2007,5.72
1/1/2007,5.76
12/1/2006,5.75
11/1/2006,5.8
10/1/2006,5.83
9/1/2006,5.96
8/1/2006,6
7/1/2006,6.02
6/1/2006,5.94
5/1/2006,5.73
4/1/2006,5.63
3/1/2006,5.62
2/1/2006,5.62
1/1/2006,5.53
12/1/2005,5.53
11/1/2005,5.55
10/1/2005,5.67
9/1/2005,5.42
8/1/2005,5.34
7/1/2005,5.26
6/1/2005,5.26
5/1/2005,5.28
4/1/2005,5.26
3/1/2005,5.04
2/1/2005,4.97
1/1/2005,5
12/1/2004,4.88
11/1/2004,4.99
10/1/2004,5.19
9/1/2004,5.17
8/1/2004,5.26
7/1/2004,5.13
6/1/2004,4.96
5/1/2004,4.97
4/1/2004,4.71
3/1/2004,4.63
2/1/2004,4.45
1/1/2004,4.4
12/1/2003,4.51
11/1/2003,4.32
10/1/2003,4.04
9/1/2003,3.78
8/1/2003,3.76
7/1/2003,3.62
6/1/2003,3.5
5/1/2003,3.54
4/1/2003,3.57
3/1/2003,3.58
2/1/2003,3.51
1/1/2003,3.18
12/1/2002,3.07
11/1/2002,3.12
10/1/2002,3.42
9/1/2002,3.46
8/1/2002,3.17
7/1/2002,3.08
6/1/2002,2.64
5/1/2002,2.41
4/1/2002,2.28
3/1/2002,2.14
2/1/2002,2.24
1/1/2002,2.17
12/1/2001,2.16
11/1/2001,2.29
10/1/2001,2.52
9/1/2001,2.71
8/1/2001,2.64
7/1/2001,2.82
6/1/2001,2.97
5/1/2001,3.12
4/1/2001,3.58
3/1/2001,3.83
2/1/2001,3.6
1/1/2001,3.63
12/1/2000,3.76
11/1/2000,3.72
10/1/2000,3.77
9/1/2000,3.66
8/1/2000,3.58
7/1/2000,3.57
6/1/2000,3.55
5/1/2000,3.64
4/1/2000,3.51
3/1/2000,3.53
2/1/2000,3.6
1/1/2000,3.44
12/1/1999,3.37
11/1/1999,3.36
10/1/1999,3.49
9/1/1999,3.33
8/1/1999,3.24
7/1/1999,3.04
6/1/1999,3.1
5/1/1999,3.01
4/1/1999,2.94
3/1/1999,2.99
2/1/1999,3.06
1/1/1999,3.04
12/1/1998,3.17
11/1/1998,3.31
10/1/1998,3.68
9/1/1998,3.73
8/1/1998,3.57
7/1/1998,3.34
6/1/1998,3.52
5/1/1998,3.53
4/1/1998,3.54
3/1/1998,3.67
2/1/1998,3.87
1/1/1998,4.12
12/1/1997,4.13
11/1/1997,4.26
10/1/1997,4.24
9/1/1997,4.34
8/1/1997,4.38
7/1/1997,4.39
6/1/1997,4.63
5/1/1997,4.86
4/1/1997,5.28
3/1/1997,5.08
2/1/1997,4.98
1/1/1997,5.12
12/1/1996,5.21
11/1/1996,5.14
10/1/1996,5.26
9/1/1996,5.33
8/1/1996,5.38
7/1/1996,5.48
6/1/1996,5.22
5/1/1996,5.24
4/1/1996,5.3
3/1/1996,5.26
2/1/1996,5.24
1/1/1996,5.53
12/1/1995,5.53
